,Date,Z1,Z2,Z3,Z4,Z5,Z_Composite,phase,Return
2/28/1994,2/28/1994,2.6607092,1.857432547,1.552273097,1.149843732,1.001482763,1.644348268,slowdown,0.025985466
3/31/1994,3/31/1994,2.598608337,1.56893134,0.805811377,1.394993209,1.187703156,1.511209484,slowdown,-0.027068279
4/30/1994,4/30/1994,2.544875972,1.661637531,0.633825177,1.61812637,1.389050742,1.569503158,expansion,-0.041474654
5/31/1994,5/31/1994,2.52864628,1.557665696,1.435469902,2.228222101,1.712640335,1.892528863,expansion,0.019077332
6/30/1994,6/30/1994,2.512194317,1.308154525,1.543240246,2.076923077,1.824853624,1.853073158,slowdown,0.001154329
7/31/1994,7/31/1994,2.495899963,1.003080149,1.455383494,1.96162713,1.633735678,1.709945283,slowdown,-0.024238019
8/31/1994,8/31/1994,2.451874283,1.326549694,1.926055005,2.047343832,1.407872287,1.83193902,expansion,0.032572118
9/30/1994,9/30/1994,2.350849758,1.275533954,1.762880334,2.112608519,1.661653331,1.832705179,expansion,0.03482847
10/31/1994,10/31/1994,2.18754442,1.307104196,1.583184137,2.162027079,1.682555406,1.784483048,slowdown,-0.01841479
11/30/1994,11/30/1994,1.963122288,0.962859032,1.059467049,2.345464322,1.563432061,1.578868951,slowdown,0.015429453
12/31/1994,12/31/1994,1.669250402,1.255196032,0.227755131,2.282888372,0.640247981,1.215067584,slowdown,-0.035286173
1/31/1995,1/31/1995,1.326537641,1.587551296,0.161615266,1.887939645,0.998180025,1.192364775,slowdown,0.022176109
2/28/1995,2/28/1995,0.982050799,1.243211439,1.095907762,2.022147428,0.083650427,1.085393571,slowdown,0.02485019
3/31/1995,3/31/1995,0.678948278,0.41661212,1.425275799,1.883139041,-0.844601084,0.711874831,slowdown,0.032147204
4/30/1995,4/30/1995,0.327720128,0.567638171,1.449317027,1.180152715,-1.034330556,0.498099497,slowdown,0.031053459
5/31/1995,5/31/1995,0.038809061,0.095931967,1.230523409,1.387990321,-2.221839496,0.106283053,slowdown,0.024758359
6/30/1995,6/30/1995,-0.019251219,0.466356089,1.049637238,1.414898719,-2.268547574,0.128618651,expansion,0.038647554
7/31/1995,7/31/1995,-0.008315632,0.657913401,0.903197685,1.233216906,-0.907303898,0.375741692,expansion,0.027074861
8/31/1995,8/31/1995,0.010091362,0.859412545,0.770413789,1.190722984,-1.808703992,0.204387338,slowdown,0.019078488
9/30/1995,9/30/1995,0.005737509,-0.287477432,0.904249393,1.302309253,-1.523214286,0.080320887,slowdown,0.010548353
10/31/1995,10/31/1995,-0.008214402,-0.081800167,-0.352510157,1.159644165,-1.820309446,-0.220638001,contraction,0.040776892
11/30/1995,11/30/1995,-0.03856234,-0.448199776,-0.024214593,0.795413461,-1.921380486,-0.327388747,contraction,0.010699179
12/31/1995,12/31/1995,-0.07522623,0.064028539,-0.097382629,0.825508434,-1.699229212,-0.196460219,recovery,0.036037571
1/31/1996,1/31/1996,-0.103826649,-0.246967223,-0.068524833,0.771428571,-1.748411359,-0.279260298,contraction,0.012301449
2/29/1996,2/29/1996,-0.102030207,-0.394449462,0.338741564,0.789612572,-1.463917761,-0.166408659,recovery,0.034036329
3/31/1996,3/31/1996,-0.063004431,0.47509204,-0.086554936,0.627751297,-1.025973533,-0.014537912,recovery,0.014091885
4/30/1996,4/30/1996,0.000212044,0.247215552,-0.059317496,0.374775244,-0.521828403,0.008211388,expansion,0.009350139
5/31/1996,5/31/1996,0.043017205,-0.373195096,1.190719612,0.296961092,-0.560174242,0.119465714,expansion,0.003548459
6/30/1996,6/30/1996,0.060555698,0.178504559,0.20755462,0.822240239,0.177142044,0.289199432,expansion,0.026876328
7/31/1996,7/31/1996,0.099029458,0.689838912,-0.009010192,0.324259289,-0.634602796,0.093902934,slowdown,0.015875906
8/31/1996,8/31/1996,0.143631104,0.908065318,0.899149916,1.100106873,-0.239652853,0.562260072,expansion,-0.034824411
9/30/1996,9/30/1996,0.204960904,0.787932703,1.420331146,0.903014407,-0.344058103,0.594436211,expansion,0.00030391
10/31/1996,10/31/1996,0.249849864,1.307242658,0.654175042,0.95168328,-0.28090535,0.576409099,slowdown,0.060206596
11/30/1996,11/30/1996,0.254911049,2.423886557,-0.231695643,0.501057412,0.239505794,0.637533034,expansion,0.017703342
12/31/1996,12/31/1996,0.291140915,1.550879805,-0.659478703,0.526003652,0.698705582,0.48145025,slowdown,0.071286664
1/31/1997,1/31/1997,0.425051158,1.673212526,-0.422176423,0.849688823,0.409477275,0.587050672,expansion,-0.012178383
2/28/1997,2/28/1997,0.592137135,2.301373124,0.572081984,1.239071487,0.265274586,0.993987663,expansion,0.060770459
3/31/1997,3/31/1997,0.781917293,2.234159728,-0.436601466,1.362731662,0.419011703,0.872243784,slowdown,0.014381471
4/30/1997,4/30/1997,0.986919655,2.458625887,-0.798678139,1.852497335,0.404241834,0.980721314,expansion,-0.048728552
5/31/1997,5/31/1997,1.192690812,2.698709098,-1.600015558,2.368332324,0.942416819,1.120426699,expansion,0.050935821
6/30/1997,6/30/1997,1.397459953,2.654610871,-1.847255472,1.857665267,0.695005374,0.951497199,slowdown,0.063940306
7/31/1997,7/31/1997,1.583849252,2.786464769,-1.015782766,2.259095029,1.34289004,1.391303265,expansion,0.049868258
8/31/1997,8/31/1997,1.72649035,1.998196528,-1.78322424,2.587162248,1.035497492,1.112824476,slowdown,0.064120071
9/30/1997,9/30/1997,1.81763013,2.163999585,-2.288404985,2.210390254,0.495490123,0.879821021,slowdown,-0.05059135
10/31/1997,10/31/1997,1.814096164,1.956086283,-3,2.622288063,1.135549387,0.905603979,expansion,0.059996834
11/30/1997,11/30/1997,1.701633578,2.106261629,-3,2.580815678,0.997814041,0.877304985,slowdown,-0.013705082
12/31/1997,12/31/1997,1.500082076,1.184401255,-3,2.146259862,0.694873071,0.505123253,slowdown,0.041768097
1/31/1998,1/31/1998,1.256604538,1.878491494,-2.885124844,2.330850483,0.526946537,0.621553642,expansion,0.00423743
2/28/1998,2/28/1998,1.00753334,2.260131764,-2.127916073,2.077147835,0.287203502,0.700820074,expansion,0.025718103
3/31/1998,3/31/1998,0.719649023,1.54651679,-2.010200299,1.611996729,0.177449899,0.409082429,slowdown,0.046282427
4/30/1998,4/30/1998,0.310998023,1.774049959,-2.577888746,2.425390753,-0.095484537,0.36741309,slowdown,0.05806378
5/31/1998,5/31/1998,-0.039325456,1.382460815,-1.412723059,1.962444083,-0.461225055,0.286326266,slowdown,0.003206165
6/30/1998,6/30/1998,-0.428644252,1.074376248,-1.961354647,1.68427869,-1.049946017,-0.136257995,contraction,-0.026945406
7/31/1998,7/31/1998,-0.852317457,0.8412256,-2.258890336,1.676898211,-0.958129428,-0.310242682,contraction,0.054700134
8/31/1998,8/31/1998,-1.254230283,0.661914314,-3,1.560535132,-0.946161535,-0.595588474,contraction,-0.03737846
9/30/1998,9/30/1998,-1.541600928,0.067737138,-3,1.208734446,-1.126131239,-0.878252117,contraction,-0.106339408
10/31/1998,10/31/1998,-1.642638342,-0.472311349,-3,1.322875656,-1.148610575,-0.988136922,contraction,-0.010040627
11/30/1998,11/30/1998,-1.534938117,0.251714937,-2.64836566,1.322875656,-1.334781327,-0.788698902,recovery,0.13928835
12/31/1998,12/31/1998,-1.269592286,-0.109214223,-2.299030728,1.210645134,-1.779550562,-0.849348533,contraction,0.05483795
1/31/1999,1/31/1999,-0.893114405,0.379981177,-2.359986541,1.458519935,-0.638232246,-0.410566416,recovery,0.048832687
2/28/1999,2/28/1999,-0.464837296,1.061881392,-2.064610201,1.104481561,-0.295462972,-0.131709503,recovery,0.02877117
3/31/1999,3/31/1999,-0.031642155,0.524283769,-1.593846847,1.345330815,-0.091347625,0.030555591,expansion,-0.032243877
4/30/1999,4/30/1999,0.308460696,0.208822118,-1.38084761,1.005804112,-0.130093019,0.002429259,slowdown,0.044305433
5/31/1999,5/31/1999,0.623757133,0.577303404,-0.839549694,1.293185826,0.527828159,0.436504966,expansion,0.045873047
6/30/1999,6/30/1999,0.955998455,0.672924213,-0.740706781,0.912526124,1.072352296,0.574618861,expansion,-0.039169774
7/31/1999,7/31/1999,1.25483543,0.378554558,-0.754493781,0.815586088,0.243799663,0.387656392,slowdown,0.053690306
8/31/1999,8/31/1999,1.471728844,0,-0.969312546,1.077538711,0.651949745,0.446380951,expansion,-0.036634405
9/30/1999,9/30/1999,1.666596922,0.737292522,-1.17588563,1.083798792,1.321556438,0.726671809,expansion,0.003755908
10/31/1999,10/31/1999,1.789186559,-0.401084474,-1.186279505,1.221231972,1.25789609,0.536190128,slowdown,-0.042885478
11/30/1999,11/30/1999,1.860571352,0.697628926,-1.002290467,1.129758061,1.477461886,0.832625952,expansion,0.059713709
12/31/1999,12/31/1999,1.929470167,0.032837239,-0.826458002,1.47355541,1.338695962,0.789620155,slowdown,0.038806632
1/31/2000,1/31/2000,1.904919661,2.139774304,-0.626890089,1.531614999,0.95848023,1.181579821,expansion,0.042632624
2/29/2000,2/29/2000,1.812198285,1.851284011,-0.336797298,1.122451403,0.644309415,1.018689163,slowdown,-0.027355692
3/31/2000,3/31/2000,1.661831436,0.490532181,-1.298085842,1.346276594,0.337272274,0.507565329,slowdown,-0.015014078
4/30/2000,4/30/2000,1.477989543,1.141660108,-1.353076438,2.032522458,0.192317994,0.698282733,expansion,0.064170784
5/31/2000,5/31/2000,1.316910205,1.557717639,-1.330150366,1.373721355,-0.210503419,0.541539083,slowdown,-0.034674683
6/30/2000,6/30/2000,1.151346936,0.06647607,-1.562296829,1.254797994,-0.743203718,0.033424091,slowdown,-0.018368637
7/31/2000,7/31/2000,0.971509211,0.693475094,-0.592937908,1.112407702,-0.299583541,0.376974111,expansion,0.025771698
8/31/2000,8/31/2000,0.766762482,0.281147809,-0.372289507,0.7675475,-1.048955727,0.078842512,slowdown,-0.026479167
9/30/2000,9/30/2000,0.518337389,0.099149468,-0.720921322,1.6,-1.04988998,0.089335111,expansion,0.068379832
10/31/2000,10/31/2000,0.210085448,-0.231405736,-0.906614214,1.611500597,-1.305637617,-0.124414304,contraction,-0.053044131
11/30/2000,11/30/2000,-0.087667343,0.363049862,-1.074087521,1.405633826,-1.27648109,-0.133910453,contraction,-0.011091162
12/31/2000,12/31/2000,-0.414694535,-2.510741722,-1.578345673,1.232926291,-2.495927234,-1.153356575,contraction,-0.083263907
1/31/2001,1/31/2001,-0.757530984,-3,-1.31840229,0,-2.653381254,-1.545862906,contraction,0.011822702
2/28/2001,2/28/2001,-1.090389029,-3,-0.515005314,0,-2.413789574,-1.403836784,recovery,0.032774384
3/31/2001,3/31/2001,-1.334489418,-2.906110378,-0.749685285,-0.476903369,-1.961274924,-1.485692675,contraction,-0.095490085
4/30/2001,4/30/2001,-1.494397863,-3,-0.578227549,-0.944392685,-1.86323679,-1.576050977,contraction,-0.083357521
5/31/2001,5/31/2001,-1.590356744,-2.29881623,0.339277384,-0.476903369,-2.014362881,-1.208232368,recovery,0.106008431
6/30/2001,6/30/2001,-1.662132866,-2.085135442,0.470693778,-1.430710106,-1.569714703,-1.255399868,contraction,-0.002988253
7/31/2001,7/31/2001,-1.720069277,-2.034126988,0.776077582,-1.865170525,-1.469585912,-1.262575024,contraction,-0.017112808
8/31/2001,8/31/2001,-1.762264501,-2.085177027,0.745790605,-2.922834906,-0.913201272,-1.38753742,contraction,-0.017556834
9/30/2001,9/30/2001,-1.773286197,-3,-0.623329126,-3,-0.925521331,-1.864427331,contraction,-0.056920089
10/31/2001,10/31/2001,-1.714083421,-2.782372422,-1.282602117,-3,-1.883022678,-2.132416127,contraction,-0.078999231
11/30/2001,11/30/2001,-1.574359595,-2.479885669,0.45965839,-3,-1.254677299,-1.569852835,recovery,0.043074948
12/31/2001,12/31/2001,-1.372838558,-1.866982607,0.734484759,-3,-1.030833631,-1.307234007,recovery,0.038085567
1/31/2002,1/31/2002,-1.147089266,-1.38666905,0.766639209,-2.969657109,-0.568344222,-1.061024088,recovery,0.018655389
2/28/2002,2/28/2002,-0.93085672,-1.571128049,0.972904449,-2.711630723,0.072264856,-0.833689237,recovery,-0.019497148
3/31/2002,3/31/2002,-0.766007588,-0.974847656,1.145592868,-2.525432492,0.379390494,-0.548260875,recovery,0.011238401
4/30/2002,4/30/2002,-0.690601695,-1.191061356,0.848162811,-2.646998269,0.379299866,-0.660239728,contraction,0.015838698
5/31/2002,5/31/2002,-0.597223416,-0.431808597,1.383413264,-2.36178263,0.507969722,-0.299886331,recovery,-0.038136695
6/30/2002,6/30/2002,-0.410896281,-0.583838218,0.223524877,-2.255734741,0.604937096,-0.484401453,contraction,-0.040109334
7/31/2002,7/31/2002,-0.347272256,-0.903330492,-0.986069537,-2.16989031,0.027701612,-0.875772196,contraction,-0.069019829
8/31/2002,8/31/2002,-0.426255938,-0.827478399,-0.453499788,-1.916945376,0.046791603,-0.71547758,recovery,-0.075582047
9/30/2002,9/30/2002,-0.540059692,-0.838459318,-1.357817829,-1.811867508,0.086723814,-0.892296106,contraction,0.034711786
10/31/2002,10/31/2002,-0.622435345,-1.293189535,-1.366532021,-1.721357166,-0.159719141,-1.032646641,contraction,-0.067129738
11/30/2002,11/30/2002,-0.705069812,-0.893032732,0.204802508,-1.81138844,-0.178433778,-0.67662445,recovery,0.050978767
12/31/2002,12/31/2002,-0.758373557,-0.603403915,0.822090058,-1.780347133,0.49607416,-0.364792077,recovery,0.026152615
1/31/2003,1/31/2003,-0.796598975,-1.061394304,1.086279116,-1.284797283,0.44865039,-0.321572211,recovery,-0.047560834
2/28/2003,2/28/2003,-0.853053271,-1.324274234,1.23468121,-1.154073173,-0.024026287,-0.424149151,contraction,-0.024093882
3/31/2003,3/31/2003,-0.831178644,-1.508603318,1.113902441,-0.911617713,-0.610103033,-0.549520053,contraction,-0.028233585
4/30/2003,4/30/2003,-0.751600483,-0.609654037,1.611638223,-0.737132064,-0.647449367,-0.226839546,recovery,0.025393143
5/31/2003,5/31/2003,-0.621787242,0.070982346,1.993923944,-0.615594417,0.106505786,0.186806083,expansion,0.06089252
6/30/2003,6/30/2003,-0.3239149,-0.173307217,1.98618789,-0.737591656,0.107848201,0.171844464,slowdown,0.062326706
7/31/2003,7/31/2003,0.034608378,0.013269661,1.960496735,-0.62041613,0.655618583,0.408715445,expansion,0.01615098
8/31/2003,8/31/2003,0.478674891,-0.193122579,1.964630836,-0.503268377,1.223285321,0.594040018,expansion,-0.003556453
9/30/2003,9/30/2003,1.064419266,-0.382444125,2.062659,-0.519763767,0.992613596,0.643496794,expansion,0.028167618
10/31/2003,10/31/2003,1.736882966,-0.008634771,1.936853528,-0.407712337,1.628204738,0.977118825,expansion,0.013049767
11/30/2003,11/30/2003,2.324544684,0.819686335,1.94861934,-0.144557631,2.166409271,1.4229404,expansion,0.041891849
12/31/2003,12/31/2003,2.659957489,0.625760449,1.94828005,0,2.338201233,1.514439844,expansion,0.015540938
1/31/2004,1/31/2004,2.744252991,2.694192545,1.824936898,0,2.344695542,1.921615595,expansion,0.032775251
2/29/2004,2/29/2004,2.676757788,0.892621309,1.913163755,0.180834018,1.984415194,1.529558413,slowdown,0.021921335
3/31/2004,3/31/2004,2.547972906,1.134187361,1.657355809,-0.098425294,1.925716761,1.433361509,slowdown,0.024993134
4/30/2004,4/30/2004,2.401786616,0.72980728,1.49251753,0.324349522,1.857021184,1.361096427,slowdown,-0.015864656
5/31/2004,5/31/2004,2.144755584,0.045743882,1.520500437,0.375344596,1.950490355,1.207366971,slowdown,-0.014364714
6/30/2004,6/30/2004,1.93834754,1.020278554,1.602552345,0.436549451,1.731476495,1.345840877,expansion,0.001324049
7/31/2004,7/31/2004,1.723171531,1.19520385,1.451447358,0.870053547,1.57501557,1.362978371,expansion,0.005393836
8/31/2004,8/31/2004,1.519340873,1.037201489,1.295857509,1.371306842,1.267700802,1.298281503,slowdown,-0.02403323
9/30/2004,9/30/2004,1.412564311,0.66751541,1.202950289,1.533915363,0.979487045,1.159286484,slowdown,0.004091248
10/31/2004,10/31/2004,1.270358253,0.164269253,0.818553669,1.144499995,0.758332472,0.831202729,slowdown,0.018383879
11/30/2004,11/30/2004,1.133683546,0.278783136,0.707464566,1.571370398,0.772291689,0.892718667,expansion,-0.002237539
12/31/2004,12/31/2004,1.026330747,0.949019912,0.821310741,1.513294204,0.937509808,1.049493082,expansion,0.054914146
1/31/2005,1/31/2005,0.924499572,0.651743754,0.548985779,1.843468217,0.786464232,0.951032311,slowdown,0.014178136
2/28/2005,2/28/2005,0.803299837,0.333356138,0.694176713,1.392942614,0.455721814,0.735899423,slowdown,-0.006439293
3/31/2005,3/31/2005,0.51940604,0.063660829,0.44098888,2.055628798,0.173947234,0.650726356,slowdown,0.018030662
4/30/2005,4/30/2005,0.135167975,-0.762187156,-0.048846394,1.781696723,-0.478089831,0.125548263,slowdown,-0.028468063
5/31/2005,5/31/2005,-0.022758981,-0.808475132,0.024440864,2.009592381,-0.776642129,0.085231401,slowdown,-0.006579899
6/30/2005,6/30/2005,-0.01023838,0.852727614,0.12525836,2.188042737,-0.387536845,0.553650697,expansion,0.037084213
7/31/2005,7/31/2005,0.046023561,0.824054642,0.178383711,2.068331054,-0.304354504,0.562487693,expansion,-0.003956557
8/31/2005,8/31/2005,0.148181208,-0.503304059,0.358103213,2.077843644,-0.394689663,0.337226869,slowdown,0.035151537
9/30/2005,9/30/2005,0.297647947,-2.507406294,0.117197437,1.596568391,0.353354414,-0.028527621,contraction,-0.009835954
10/31/2005,10/31/2005,0.442046631,-2.77876906,-0.134247234,1.542030153,0.416110079,-0.102565886,contraction,0.006367511
11/30/2005,11/30/2005,0.61943878,-1.595376983,-0.085303398,1.508592618,0.196620981,0.1287944,expansion,-0.022209319
12/31/2005,12/31/2005,0.803944033,-0.062221385,-0.014519796,1.601499466,-0.175101026,0.430720258,expansion,0.049357273
1/31/2006,1/31/2006,0.975790274,-0.111481699,-0.120054715,1.875597013,-0.200789936,0.483812187,expansion,-0.011018275
2/28/2006,2/28/2006,1.149936565,-0.860552679,0.20008064,1.487602576,-0.048917137,0.385629993,slowdown,0.030065634
3/31/2006,3/31/2006,1.300583799,-0.534711937,0.035523958,1.557601958,-0.449079324,0.381983691,slowdown,0.006077786
4/30/2006,4/30/2006,1.455560807,-0.806720044,-0.67663267,1.536170928,-0.234136711,0.254848462,slowdown,0.006958598
5/31/2006,5/31/2006,1.57766219,-2.107635989,0.93269083,1.74219125,-0.711848635,0.286611929,expansion,0.004055994
6/30/2006,6/30/2006,1.677739419,-1.1145149,-0.918259637,1.786763957,-1.298650996,0.026615569,slowdown,-0.014993937
7/31/2006,7/31/2006,1.782186935,-1.132003061,-1.287025639,1.50114247,-0.999128565,-0.026965572,contraction,-0.001557277
8/31/2006,8/31/2006,1.928024431,-1.533948161,0.196692822,1.310420275,-0.769308834,0.226376107,expansion,-0.010003348
9/30/2006,9/30/2006,2.055190783,-0.984429784,-0.367711248,1.705088614,-1.267903868,0.228046899,expansion,0.032416649
10/31/2006,10/31/2006,2.165846963,0.229415757,0.660365745,1.840802601,-1.485242942,0.682237625,expansion,0.012064172
11/30/2006,11/30/2006,2.274997351,0.031734472,1.596533754,1.355408824,-1.664607305,0.718813419,expansion,0.029208835
12/31/2006,12/31/2006,2.332308007,0,0.978025783,1.463573572,-1.230202075,0.708741057,slowdown,0.028525626
1/31/2007,1/31/2007,2.326872844,0.870940072,1.297316173,0.992084082,-1.501676915,0.797107251,expansion,0.013378774
2/28/2007,2/28/2007,2.313505429,-0.050591124,1.309731606,1.244456735,-0.338410208,0.895738488,expansion,0.027846667
3/31/2007,3/31/2007,2.298462179,-0.51251063,-0.915214638,1.532896627,-0.754926425,0.329741423,slowdown,-0.026999162
